Providers number;Extern attribute;Global strings number;Dex number;Intern attribute;Argument Type number;Balise number;Call number;Special strings number;Custom Argument;Affectation number;Number of sginature permission;Number of Dangerous permission;Average size of class;Services number;Android API;Receivers Numbers;Unicode number;URL Number;Weighted Method per class;Reponse for class;Class number;Permission number;Other Permission number;Number of child;Other Type String Number;SystemArgs;Type;Index
1;83;6551;1;16;1927;13;15;1;0;120;1;2;67;4;0;1;0;6;23,22340426;46,44680851;1;7;4;0;0;0;Malware;89
1;83;4217;1;16;1082;4;0;0;0;80;1;8;174;0;0;2;0;4;23,21276596;46,42553191;0;21;12;0;0;0;Malware;90
0;83;7682;1;16;1430;3;12;0;0;139;0;7;66;1;0;5;0;1;22,78024691;45,56049383;1;12;5;0;0;0;Malware;91
0;83;7682;1;16;1430;3;12;0;0;139;0;7;4;1;0;5;0;1;39,14285714;78,28571429;1;12;5;0;0;0;Malware;92
0;83;7682;1;16;1430;3;12;0;0;139;0;7;66;1;0;5;0;1;26,48648649;52,97297297;1;12;5;0;0;0;Malware;93
0;83;4960;1;16;960;2;12;0;0;121;0;3;259;0;0;2;0;1;22,45305164;44,90610329;0;3;0;0;0;0;Malware;94
0;83;1249;1;16;69;2;11;0;0;91;1;8;249;5;0;3;0;0;17,7;35,4;0;15;6;0;0;0;Malware;95
1;83;11529;1;16;2681;4;1;1;100;333;1;5;85;1;1;2;0;15;27,5620915;55,12418301;0;11;5;0;0;0;Malware;96
0;82;3477;1;17;237;6;3;2;100;95;0;9;163;2;0;3;0;28;26,47191011;52,94382022;0;17;8;0,797752809;0;0;Malware;97
0;83;1829;1;16;453;2;1;0;0;14;0;4;69;1;0;1;0;6;8,777777778;17,55555556;0;10;6;0;0;0;Malware;98
0;83;584;1;16;119;2;0;0;0;0;0;4;79;0;0;0;0;0;8,533333333;17,06666667;0;5;1;0;0;0;Malware;99
0;83;22638;1;16;4912;115;25;1;0;235;0;2;0;0;2;0;2;34;8,533333333;17,06666667;0;3;1;0;0;0;Malware;100
1;83;13641;1;16;2468;19;105;8;100;370;1;3;24;2;1;2;2;47;27,36150235;54,72300469;0;12;8;0,985915493;0;0;Malware;101
1;82;12975;1;17;2189;19;107;6;100;370;1;2;16;1;0;1;2;41;26,96296296;53,92592593;0;7;4;0,902777778;0;0;Malware;102
0;82;5881;1;17;942;22;17;3;100;18;0;2;10;0;0;0;0;23;31,02371542;62,04743083;0;6;4;1,193675889;0;0;Malware;103
0;83;277;1;16;24;1;0;0;0;4;0;3;4;0;0;0;0;2;8,25;16,5;12;5;2;0;0;0;Malware;104
0;83;1738;1;16;132;3;8;2;0;27;0;3;118;0;0;2;0;6;10;20;0;6;3;0;0;0;Malware;105
0;83;1224;1;16;198;2;0;0;0;4;1;2;68;0;0;0;0;4;10,80701754;21,61403509;0;6;3;0;0;0;Malware;106
3;83;17723;1;16;4073;75;14;2;0;468;2;12;10;8;0;15;7;20;14,04255319;28,08510638;0;31;17;0;0;0;Malware;107
2;83;5639;1;16;1157;22;6;5;0;157;0;2;75;3;0;1;0;32;13,92366412;27,84732824;0;9;7;1,572519084;0;0;Malware;108
0;87;1147;1;12;204;1;0;0;0;35;0;1;109;0;21;3;0;0;25,16793893;50,33587786;0;1;0;0,061068702;0;0;Malware;109
0;85;7821;1;14;1610;9;9;7;0;136;0;2;150;3;0;3;0;36;25;50;1;7;5;2,366101695;0;0;Malware;110
0;83;1759;1;16;344;2;6;1;0;22;2;6;99;4;0;4;0;14;13,35672515;26,71345029;8;23;15;0,175438596;0;0;Malware;111
0;83;281;1;16;54;1;0;0;0;0;0;3;146;0;0;0;0;0;13,20114943;26,40229885;0;4;1;0,074712644;0;0;Malware;112
0;83;281;1;16;54;1;0;0;0;0;0;3;146;0;0;0;0;0;13,20114943;26,40229885;0;4;1;0,074712644;0;0;Malware;113
0;83;302;1;16;47;2;0;0;0;8;0;7;65;1;0;3;0;0;13,00561798;26,01123596;0;10;3;0,039325843;0;0;Malware;114
0;83;120;1;16;11;1;0;0;0;0;0;1;50;0;0;0;0;0;12,72677596;25,45355191;0;1;0;0;0;0;Malware;115
0;83;616;1;16;155;2;0;0;0;0;0;3;7;0;0;0;0;0;12,70967742;25,41935484;0;4;1;0,02688172;0;0;Malware;116
0;83;1954;1;16;239;3;8;2;0;27;0;3;118;0;0;2;0;6;27,71900826;55,43801653;0;5;2;0;0;0;Malware;117
